title,label
100+ Computer Science Concepts Explained,
How to Become a MERN Stack Developer,
Stop solving 500+ Leetcode problems,
Power of FREE AI Courses! 💸🔥 #shorts,1
Data Structures Explained for Beginners - How I Wish I was Taught,
#vaquero #tiktok #trend #dance #tutorial #comobailar,0
Placement Preparation for CSE JOBs || MCQ &amp; Interview Rounds Roadmap,1
AsyncAPI + Kafka Microservices 🔥 | SpringWolf Auto-Docs in Spring Boot (Zero Config),1
Retryable Annotation In Spring #springboot #programming #javadevelopment #coding,1
How to do Competitive Programming?? | Programming Tips | #Shorts #PWSkills #PhysicsWallah,1
5 FREE Online Courses Students Must Do in 2024 🔥| Ishan Sharma #shorts,0
How to punch correctly…,0
Check if a number is even or odd without using loop or if- else #java #program #java4quicklearning,
System Design Interview: Design Uber w/ a Ex-Meta Staff Engineer,
🔥 Software Developer vs. Web Developer: Which One Are You? | Simplilearn #shorts,1
BEST SURVIVAL JAVA SEED! #shorts,1
ADCA Full Course | FREE ADCA Certificate...,1
WHATSAPP System Design: Chat Messaging Systems for Interviews,1
Competitive programming or DSA | what to choose for Placements,
Roadmap to Web Development | for Students,1
MERN Stack vs. Full Stack Development,1
Top 5 courses for ECE students !!!!,1
Why You Need Data Structures and Algorithms,1
How To Fly,0
5 Tips for System Design Interviews,1
Computer science is for everyone | Hadi Partovi | TEDxRainier,
IIT Placement Report 2024: The Reality🤔🤔#jee #jee2025 #iit #iitjee #iitplacement #placement,
"Foster care placement call example, sometimes there are miscommunications",
Is python the right choice for DSA? 🤔 | Python | Data Structures | GFG,
Voter list kaise download Karen 2025 | How to download new voter list 2025 | Voter ID Roll PDF,0
How to start Competitive Programming? For beginners!,1
My Placement at IIT Guwahati From CSE | IIT Motivation 🔥 #iit,0
5 Courses That Will CHANGE YOUR CAREER FOREVER 📽️| Ishan Sharma #shorts,0
Crash Course Computer Science Preview,1
Education Full Form🔥Full Form of Education👌#shorts #short,0
APJ Abdul Kalam&#39;s idea to reform Education system 🚀,0
🚀 Deploy Full Stack React + Spring Boot + MongoDB App to Netlify &amp; Railway | (Free &amp; Easy) 🔥,1
Still Learning MERN Stack in 2025? Here’s the HARSH Truth No One Tells You!,
MERN Stack Vs Java Full Stack Development in 2024 | Kya Seekhu - MERN vs JAVA Development ?,1
Day 023 - 🤯 Css order button v2 design #coding #programming #cssanimation #webdevelopment #css #html,1
#tutorial #tutorials #shortvideos #tutorialvideo #tutorialshorts #shorts #shake #emoji #shakeemoji,0
This Is How To Cook Steak Perfectly Every Time,0
Python courses for Beginners (FREE),1
Installing VS Code &amp; How Websites Work | Sigma Web Development Course - Tutorial #1,
Java Tutorial for Beginners,
System Design for Beginners,1
merchant navy course | dns | Bsc nautical science | B.Tech Marine Engineering | #merchantnavy #ship,0
